,D_3_adj.ChiSq.pval,D_3_ChiSq.pval,D_3_logFC,D_5_adj.ChiSq.pval,D_5_ChiSq.pval,D_5_logFC,D_7_adj.ChiSq.pval,D_7_ChiSq.pval,D_7_logFC,D_9_adj.ChiSq.pval,D_9_ChiSq.pval,D_9_logFC,D_11_adj.ChiSq.pval,D_11_ChiSq.pval,D_11_logFC,D_13_adj.ChiSq.pval,D_13_ChiSq.pval,D_13_logFC
CHOYP_GAR1.1.2.m.9449,0.979445546193914,0.641666006815732,-0.250363201749154,0.967036679485888,0.215994383444145,-0.772169985590037,0.949671592008509,0.241344889430543,-0.773139166109326,0.979180442953242,0.924867919487147,0.0496733606392827,0.998682844793179,0.391601618256397,-0.532896310679094,0.958428402785477,0.543037165823833,0.415868775854473
CHOYP_GBB.2.2.m.35274,0.979445546193914,0.863223075469484,-0.120727921332559,0.967036679485888,0.34477478517377,-0.64288696864507,0.949671592008509,0.322078081807832,-0.773139166109326,0.979180442953242,0.564695495572411,-0.365364138639561,0.998682844793179,0.821335581783819,0.149621499464736,0.958428402785477,0.613491600235991,0.375226791357127
CHOYP_GBLP.6.7.m.57427,0.979445546193914,0.707964887569626,0.117909830193768,0.967036679485888,0.830085274005514,-0.0669132511511688,0.949671592008509,0.698906735482638,0.122524174075938,0.979180442953242,0.275034914919035,0.323848324078277,0.998682844793179,0.541214227677236,0.182042977157113,0.958428402785477,0.749196969682856,-0.0987043969752852
CHOYP_AMACR.1.1.m.21950,0.979445546193914,0.509900838342897,-0.687768514056452,0.967036679485888,0.482064606274095,-0.865279389981518,0.966917060438457,0.921732908747223,-0.0950672609966883,0.979180442953242,0.438661056454689,-0.950326639360718,0.998682844793179,0.255916703682089,-1.32430968886768,0.978007666549162,0.961417907370364,0.0532986964697646
CHOYP_GCC2.1.1.m.17251,0.979445546193914,0.777764668723533,-0.272731014777609,0.967036679485888,0.846506603809963,-0.18720748486888,0.949671592008509,0.823834919271132,0.226860833890674,0.979180442953242,0.80687331595947,-0.213361045194511,0.998682844793179,0.707075519749354,0.412655905298529,0.978007666549162,0.967186004955257,-0.0398107079217165
CHOYP_GCKR.1.1.m.51743,0.979445546193914,0.720256710992697,0.312231485943547,0.967036679485888,0.655545903789534,0.35711303135493,0.949671592008509,0.377064479501023,0.81182333461183,0.979180442953242,0.0652933928682301,-1.95032663936072,0.998682844793179,0.656050189457452,0.582580906740842,0.958428402785477,0.768852437823477,0.223223697912077
CHOYP_GCN1L.1.1.m.1352,0.979445546193914,0.280246827019862,0.244213062514897,0.967036679485888,0.623852904325962,-0.101346748215042,0.949671592008509,0.135774833544778,-0.319627519015847,0.979180442953242,0.118460647964972,-0.326193541358884,0.998682844793179,0.948016960434079,0.0142971471663156,0.968160191300188,0.889640975483688,-0.034928486541971
CHOYP_GCSP.1.1.m.46644,0.979445546193914,0.236404837678792,-0.356795279566083,0.967036679485888,0.862252656688998,-0.0579244679239137,0.964386855411701,0.898060375391239,0.0462885882488528,0.979180442953242,0.796086024985711,-0.0971680276899889,0.998682844793179,0.994648991752848,-0.00238159398031446,0.958428402785477,0.171122262243273,0.531345993274408
CHOYP_GCST.1.1.m.16047,0.979445546193914,0.324979788861877,-0.448302579361063,0.979800274196179,0.957369137881019,-0.025744062174764,0.949671592008509,0.541763653132476,0.326396507441588,0.979180442953242,0.827133093923151,-0.102329732805767,0.998682844793179,0.772340010173435,0.123149288103544,0.958428402785477,0.167000055379012,0.790264290635971
CHOYP_GD1L1.1.1.m.11963,0.979445546193914,0.627384649959207,0.63415958083091,0.967036679485888,0.731400300612477,-0.450241890702674,0.949671592008509,0.785153129973198,-0.358101666830482,0.979180442953242,0.966361784226244,0.0496733606392825,0.998682844793179,0.656050189457452,0.582580906740842,0.958428402785477,0.464284782848224,-0.946701303530236
