Cluster,Silo,ID,D3,D5,D7,D9,D11,D13
2,3,CHOYP_FABP7.2.2.m.29096,7.57035,19.0129,32.06865,52.29585,90.14285,46.92605
2,3,CHOYP_FLNA.2.6.m.11845,0.5269,74.4623,37.8434,2.28805,55.62715,1.03215
3,3,CHOYP_FYN.1.1.m.44312,53.00875,60.66135,67.376,68.0045,71.90015,87.65825
3,3,CHOYP_GRP78.2.5.m.33058,123.3605,108.79245,114.31075,104.82245,110.4742,151.07635
3,3,CHOYP_GSTO2.1.1.m.36486,65.2838,61.8788,61.07105,53.32385,82.63025,79.37055
3,3,CHOYP_HN1L.2.2.m.9837,98.6807,69.8719,59.23545,45.0957,96.3798,74.16265
1,3,CHOYP_HSP7D.2.3.m.34782,126.9403,171.74285,117.95255,168.5778,207.90135,160.4684
3,3,CHOYP_IDLC.1.1.m.63624,84.6018,95.66545,56.1739,62.30025,54.0719,65.52675
3,3,CHOYP_IF2A.1.1.m.13279,63.46375,67.17505,74.0649,60.67355,66.3508,62.79195
3,3,CHOYP_ISCW_ISCW023973.1.2.m.6506,42.87335,66.70235,67.301,73.56045,68.9431,62.8813
15,3,CHOYP_KARG.2.11.m.2196,410.63725,341.04545,354.04625,363.883,363.81615,476.5744
2,3,CHOYP_KCY.1.1.m.29973,63.6239,48.0216,76.47595,42.04945,78.4603,57.1457
12,3,CHOYP_LDLR.6.7.m.57984,81.71735,156.55645,204.01965,345.0764,207.1013,136.1998
3,3,CHOYP_LOC100113561.1.1.m.37903,73.776,43.5905,64.1583,46.2942,58.934,77.7367
2,3,CHOYP_LOC100119310.1.1.m.22032,55.0928,31.673,54.6285,62.3906,66.20035,66.40635
3,3,CHOYP_LOC100185549.1.6.m.31232,88.92865,67.88795,51.8499,45.81525,62.4904,50.7204
1,3,CHOYP_LOC100186361.3.3.m.66600,100.07095,132.7258,121.9119,135.77515,135.64325,139.9971
2,3,CHOYP_LOC100211409.1.1.m.4742,46.3082,46.7362,25.647,16.7977,40.07425,91.15755
3,3,CHOYP_LOC100371236.1.1.m.62865,51.819,68.83345,77.11845,75.4137,69.9267,59.273
3,3,CHOYP_LOC100375551.1.2.m.27489,44.48085,44.92535,47.06195,112.3957,48.2102,34.64355
3,3,CHOYP_LOC100376457.1.2.m.11537,67.2882,63.0757,64.07995,69.154,78.8635,86.34565
1,3,CHOYP_LOC100376688.1.8.m.12067,104.39245,116.86355,147.6016,140.014,162.14005,149.2328
2,3,CHOYP_LOC100377173.1.2.m.37699,24.24825,2.3005,11.94965,6.9902,2.58005,9.12045
3,3,CHOYP_LOC100533521.2.2.m.52097,77.36905,97.33525,106.33325,102.9474,78.7922,154.5444
2,3,CHOYP_LOC100699093.1.1.m.20134,64.6397,59.8332,64.1115,59.94365,71.92165,68.93215
16,3,CHOYP_LOC100699383.1.1.m.63490,167.74565,214.8679,187.204,250.16115,441.3681,159.66895
2,3,CHOYP_LOC100710670.1.2.m.7245,59.07755,55.3003,64.82935,63.09435,78.75975,61.03525
2,3,CHOYP_LOC100710670.2.2.m.45011,59.07755,55.3003,64.82935,63.09435,78.75975,61.03525
