Cluster,Silo,ID,D3,D5,D7,D9,D11,D13
1,9,CHOYP_SMP_051990.7.7.m.57569,114.76605,95.88055,118.17745,122.0124,155.63955,181.3491
3,9,CHOYP_SMP_194720.1.1.m.53496,57.9162,66.4137,66.19595,58.96725,84.98635,85.28395
3,9,CHOYP_SPTCA.1.2.m.1905,57.8742,63.99765,68.69485,78.858,78.6886,78.6579
41,9,CHOYP_TAGL3.1.1.m.31031,317.2425,280.77695,257.51455,361.24375,467.86335,423.168
32,9,CHOYP_TBA.1.6.m.12217,34.45415,140.54485,183.0576,83.7,50.3576,0.1
2,9,CHOYP_TBA1A.2.4.m.19573,0.1,0.1,0.1,0.1,0.1,0.1
4,9,CHOYP_TBA2.1.1.m.955,262.74455,194.8525,230.8458,157.151,163.4568,244.56415
58,9,CHOYP_TBB4B.1.7.m.12262,575.2672,265.15795,367.6797,401.77685,635.2697,567.3892
40,9,CHOYP_TBB4B.7.7.m.63980,261.08445,359.34275,260.92085,285.65025,176.5041,192.195
2,9,CHOYP_TCPH.1.1.m.7312,74.9364,73.3812,63.08405,71.64085,53.0097,51.02475
3,9,CHOYP_TEMPT.1.3.m.4934,28.80595,49.0512,68.742,85.5237,115.6941,76.66635
59,9,CHOYP_TPM.17.19.m.63919,0.1,0.1,49.79045,152.07435,162.7206,0.1
2,9,CHOYP_TPM.18.19.m.66023,60.1499,0.1,42.9447,0.1,12.98565,0.1
3,9,CHOYP_TPM.7.19.m.15554,110.35385,2.62075,52.96835,0.1,0.1,101.3903
60,9,CHOYP_TRIADDRAFT_57086.1.1.m.25271,303.20255,370.01345,259.1985,229.80995,270.9148,478.2411
3,9,CHOYP_TRIADDRAFT_63666.3.3.m.57696,67.3331,72.7497,86.1536,41.4778,56.85585,63.45205
2,9,CHOYP_VATA.1.1.m.44460,71.43255,69.4916,60.98255,65.998,63.02085,68.29435
4,9,CHOYP_VOLCADRAFT_93060.2.2.m.26741,284.42,182.0209,166.2589,183.36395,193.93855,157.5121
3,9,CHOYP_YAHB.1.1.m.25422,54.52605,51.20825,56.4039,71.82265,82.52775,85.46705
