Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C,proteinID
3.20935,4.0347,1.94045,2.19465,2.87355,2.97385,7.11055,1.6059,5.17715,1.7724,3.00485,3.8615,CHOYP_HMCN2.3.12|m.26811
0.90005,0,1.098,2.3557,1.56885,1.6078,0.8269,1.73645,0.8716,1.00355,1.7019,0,CHOYP_HOOK3.1.1|m.14456
30.17215,25.8512,22.63535,23.4447,10.27925,13.0172,24.811,16.35415,23.954,23.24,19.7475,31.54845,CHOYP_HPGD.1.3|m.50258
9.5207,8.25745,8.2616,7.44925,5.9998,8.8683,7.21645,9.55525,2.54025,9.05725,5.11835,6.5775,CHOYP_ANKMY2.1.1|m.18238
53.0607,46.64745,56.14095,46.29855,40.74135,49.48975,55.42555,51.23405,49.7406,53.8296,47.5945,51.399,CHOYP_HPRT.1.1|m.61881
1.9455,0,4.73715,2.6592,1.71885,1.81495,1.7313,1.9602,2.7478,2.16345,1.83385,0.9955,CHOYP_HS12A.20.33|m.55554
4.13775,4.19055,3.80545,2.8682,5.52115,0,0.989,3.1337,1.962,1.2025,1.9635,3.03195,CHOYP_HS12B.2.14|m.19896
60.3049,53.41925,41.35355,51.6809,46.6829,56.3141,60.65305,79.83085,46.12455,58.73645,67.79795,73.19325,CHOYP_HS12B.7.14|m.40601
23.28635,21.46165,12.8997,19.3426,9.3586,11.86405,15.1392,17.14305,16.0162,21.2246,18.0824,20.5506,CHOYP_HS90A.1.3|m.7725
42.9694,32.15585,48.51445,45.07725,30.98775,43.10795,39.6779,49.6724,56.50015,62.04325,43.545,41.71325,CHOYP_HS90A.3.3|m.28300
8.31245,7.0087,11.75185,11.3385,18.2747,14.15655,9.8187,4.1878,7.7426,10.7281,7.84395,13.3786,CHOYP_HSP21.4.1.1|m.8171
11.2911,2.92975,10.3138,10.3268,22.45215,21.06705,15.07215,8.4932,13.15565,21.98845,13.4384,8.2174,CHOYP_HSP7D.2.3|m.34785
43.88955,52.18165,30.24795,52.4123,42.2454,48.14575,42.46255,48.1249,30.4408,44.67265,39.70365,61.18705,CHOYP_HSP7D.3.3|m.41778
17.57845,16.5515,12.8509,17.11715,19.67725,13.1186,26.13675,15.3473,20.9149,13.05645,19.9764,20.46515,CHOYP_HSP7E.1.1|m.13730
0.6456,0,0,0,0,0.59975,0,0,0.58935,0,0,0.6183,CHOYP_AAEL_AAEL001503.1.1|m.10649
0.83395,0.8391,0,2.814,4.78185,2.88625,1.37665,0,0.75995,0,0,0.79805,CHOYP_ANKRD5.1.2|m.11711
0.3418,0,0,1.08225,1.04545,0,1.0461,1.50255,0.83565,0.9885,0.59835,0,CHOYP_HTR5B.1.1|m.39330
1.3698,0.51795,0,0.839,0,0,1.2906,0,1.29565,0,1.7149,0.94165,CHOYP_HTT.1.1|m.33803
6.9598,7.91515,11.6918,14.40625,7.7204,10.5798,16.3034,7.95195,8.90695,5.8339,4.12815,6.7752,CHOYP_HUTH.1.1|m.30350
0,0,1.6898,0,0,0,0,0,0,0,0,0,CHOYP_HVCN1.1.4|m.8888
0,0,0,1.7052,0,0,0,0,0,0,0.9435,0.9516,CHOYP_HX1.1.1|m.23716
3.8599,0,0,3.53025,3.4103,3.6612,0,1.96785,1.8901,2.1856,1.8998,1.92585,CHOYP_HYOU1.1.3|m.163
92.7349,87.62545,100.1949,91.4678,80.51785,91.84755,82.41875,90.35265,86.6119,86.6,74.8607,91.2026,CHOYP_IDHC.1.1|m.7041
54.0719,48.47095,65.52675,71.05135,84.6018,66.98745,95.66545,72.47815,56.1739,59.8258,62.30025,34.76475,CHOYP_IDLC.1.1|m.63624
