proteinID,ClusterID,ClusterColor,19_16,21_23,23_23,25_23,27_23,29_23,31_23,21_29,23_29,25_29,27_29,29_29,31_29
CHOYP_contig_025862.m.29523,1,darkslategray1,16.4393,26.4347,5.44225,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_033740.m.38360,2,black,0.1,0.1,0.1,0.1,0.1,17.13685,10.43185,7.9935,0.1,4.8376,16.6154,21.69,15.6733
CHOYP_contig_035697.m.40446,1,darkslategray1,0.1,0.1,0.1,8.9716,4.6452,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_035889.m.40603,1,darkslategray1,18.3509,14.2238,14.10365,11.06605,14.8803,7.94235,0.1,11.2782,0.1,0.1,0.1,20.2536,0.1
CHOYP_contig_037467.m.42206,1,darkslategray1,5.631,2.73875,10.8763,2.8363,2.9595,3.12675,7.3914,2.8738,6.1169,0.1,0.1,0.1,0.1
CHOYP_contig_038550.m.43669,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.03535,0.1,9.62515,8.30765,0.1,7.8001
CHOYP_contig_039208.m.44410,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.7241,0.1,4.47605,0.1,12.60265
CHOYP_contig_040238.m.45604,1,darkslategray1,0.1,0.1,9.37565,0.1,0.1,14.7278,15.14515,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_041288.m.47081,2,black,0.1,0.1,0.1,7.01705,0.1,0.1,0.1,6.8865,2.53785,8.136,0.1,0.1,2.30235
CHOYP_contig_043280.m.49983,2,black,0.1,0.1,1.5811,0.1,0.1,0.1,0.1,5.7261,6.11345,0.1,4.26525,3.6071,11.9673
CHOYP_contig_043576.m.50359,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.67245,16.59775,15.1232
CHOYP_contig_044078.m.50900,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.6298,2.0458,1.1976,4.2441,2.8167,0.1,4.78695
CHOYP_contig_044803.m.51967,1,darkslategray1,5.02775,4.84605,0.1,0.1,0.1,10.88425,13.2513,0.1,0.1,0.1,0.1,11.0001,0.1
CHOYP_contig_048805.m.57897,1,darkslategray1,30.33275,21.91485,14.63145,3.9948,0.1,0.1,5.0817,15.43955,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_049548.m.58834,2,black,0.1,0.1,0.1,0.1,0.1,0.1,2.8709,4.31835,2.41395,2.6364,2.28845,0.1,2.19015
CHOYP_contig_049586.m.58876,1,darkslategray1,16.4393,5.34765,5.30275,0.1,0.1,17.86155,7.3397,0.1,5.99335,0.1,0.1,6.03755,0.1
CHOYP_contig_051499.m.61590,1,darkslategray1,2.31655,2.2339,8.7192,9.1403,4.64835,12.22765,3.05515,0.1,0.1,2.8053,2.43465,7.4991,4.5101
CHOYP_contig_053912.m.64506,1,darkslategray1,0.1,0.1,0.1,2.2159,2.3117,2.37765,2.926,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_055225.m.65857,1,darkslategray1,0.1,0.1,4.53715,0.1,3.19005,0.1,2.11235,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_055335.m.66005,1,darkslategray1,0.1,0.1,0.1,1.86795,1.94835,0.1,2.46395,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_COQ9.1.2.m.4620,1,darkslategray1,4.20435,8.0257,4.0389,4.219,4.25935,4.65355,0.1,0.1,4.5634,0.1,0.1,0.1,4.2499
CHOYP_CP3AB.4.4.m.47872,1,darkslategray1,0.1,1.08775,3.13,1.1727,0.1,1.21155,0.1,1.15165,0.1,0.1,0.1,0.1,0.1
CHOYP_DANA_GF15955.1.1.m.44178,1,darkslategray1,0.1,0.1,0.1,3.29255,19.69365,3.63055,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_DCDC2.7.7.m.46807,1,darkslategray1,9.31075,3.84565,11.71485,8.15205,7.00905,0.1,3.5358,8.1203,0.1,3.29545,5.6317,0.1,0.1
CHOYP_DDX47.1.1.m.11144,1,darkslategray1,1.2391,2.3415,3.46845,1.2833,3.6374,1.3611,0.1,0.1,0.1,0.1,0.1,0.1,1.22
