protein,PC1loadings,PC2loadings
CHOYP_GSHB.1.1.m.27512,-0.000848389888755304,0.00206838828427967
CHOYP_GSK3B.1.1.m.62139,-0.00266383551686083,0.00263644431101119
CHOYP_GST7.1.1.m.59335,-0.00826755861246864,0.000752925282353809
CHOYP_GSTO1.1.2.m.14745,0.0175352646198578,0.00414581176841579
CHOYP_GSTO1.2.2.m.26202,0.000737567732757013,0.00142762539539143
CHOYP_GSTO2.1.1.m.36486,0.000880103113679491,-0.00426801010833628
CHOYP_AMY.2.3.m.15473,0.00468359576361476,0.0444259700288674
CHOYP_GSTP1.1.2.m.29677,-0.00891552810547424,-0.0206159031621896
CHOYP_GSTP1.2.2.m.30099,-0.00185255265599337,0.0063348059571363
CHOYP_GSTZ1.1.1.m.56540,-7.60764047445216e-05,0.00302118739288119
CHOYP_GTPB1.1.1.m.66453,-0.0036196590098127,0.0026450050239341
CHOYP_GTR1.1.1.m.25509,0.00975682428001764,0.0115225584756749
CHOYP_GUAA.1.1.m.18809,-0.00192516539032602,-0.00413360325531168
CHOYP_GUAD.1.1.m.33511,0.00129428383044946,-0.002440420375745
CHOYP_GUN.2.2.m.46462,0.0120554939546727,0.00385774259155039
CHOYP_GZF1.1.2.m.7747,0.00227225602135682,0.000147380614221436
CHOYP_H2AV.1.7.m.12182,-0.00369754337983632,-0.00188515338839445
CHOYP_AN13B.1.1.m.15287,0.000548970133643323,0.00572258590821903
CHOYP_H3.1.2.m.3829,-0.00784742949830609,-0.00177168523659062
CHOYP_HACL1.1.1.m.6578,0.0047902119293372,0.0118729736468218
CHOYP_HBS1L.1.2.m.14311,-0.0147270645207568,0.0211509727741686
CHOYP_HEAT1.1.1.m.11228,0.00381975191083322,0.00504456025419651
CHOYP_HECD1.1.1.m.27759,-0.00119224824606587,-0.00869599944983343
CHOYP_HELZ.2.2.m.43303,-0.00460514423303425,0.0101804476466821
CHOYP_HEM2.1.1.m.6789,0.000126818591921154,-0.0145719810204898
CHOYP_HEM3.1.1.m.28414,-0.000501904321182528,-0.00774911808738213
CHOYP_HERC2.1.1.m.65153,-0.00201001953502203,0.00263097191974289
CHOYP_HGFAC.1.1.m.5902,0.00339544979662992,-0.000917547515918358
