protein,PC1loadings
CHOYP_AP1G1.1.1.m.13111,0.00084927396533878
CHOYP_ISCW_ISCW018536.1.1.m.56336,0.00262444883408167
CHOYP_ISCW_ISCW018656.1.1.m.51893,-0.0122444889724886
CHOYP_ISCW_ISCW020302.1.1.m.37564,-0.000585868052944908
CHOYP_ISCW_ISCW020550.2.2.m.18099,0.00207371642206532
CHOYP_ISCW_ISCW021457.1.1.m.31134,-0.00790406016151223
CHOYP_ISCW_ISCW021591.1.1.m.13969,0.00949797617082679
CHOYP_ISCW_ISCW021591.1.1.m.13970,-0.00205456633832466
CHOYP_ISCW_ISCW022021.1.1.m.53168,0.00214702462640304
CHOYP_ISCW_ISCW022029.1.1.m.9014,-0.000781606762500695
CHOYP_ISCW_ISCW022609.1.1.m.26988,0.00899653368364334
CHOYP_AP1M1.1.1.m.56248,-2.18629497951756e-05
CHOYP_ISCW_ISCW023153.1.1.m.10480,0.0014937821796842
CHOYP_ISCW_ISCW023180.1.2.m.31255,-0.0148318190111851
CHOYP_ISCW_ISCW023297.1.1.m.11833,-0.00508520469649561
CHOYP_ISCW_ISCW023591.1.1.m.9921,0.014322133005141
CHOYP_ISCW_ISCW023973.1.2.m.6506,-0.00442497245975368
CHOYP_ISY1.1.1.m.53545,-0.00466360633382607
CHOYP_ITB1.3.4.m.28565,0.00817105367624144
CHOYP_ITPA.1.1.m.13655,-0.0206942362365967
CHOYP_IVD.1.2.m.5213,0.000601647255347055
CHOYP_IVD.2.2.m.14522,-0.00305152228452903
CHOYP_AP2M1.1.1.m.25996,0.00333014573598573
CHOYP_JNK.1.1.m.1540,-0.00496249013914152
CHOYP_K0020.1.1.m.1673,0.00149896976174856
CHOYP_K6PF.1.1.m.46882,0.00189248181293174
CHOYP_KAPR.1.3.m.8246,-0.00239053834559032
CHOYP_KAPR.2.3.m.56519,-0.00084103287400506
CHOYP_KAT3.1.1.m.49207,-0.00502342555151035
CHOYP_KAT8.1.1.m.28310,0.0135009541524022
CHOYP_KC1A.2.2.m.64030,-4.31595000904477e-05
CHOYP_KCIP4.1.1.m.46682,-0.00101750833645754
CHOYP_AAEL_AAEL001706.1.1.m.43821,-0.0151788589440302
CHOYP_AP3M2.1.1.m.43706,0.000159080133713687
CHOYP_KCMF1.1.1.m.62675,-0.00257191614943289
CHOYP_KCP.3.13.m.17018,0.0029210986364139
CHOYP_KCP.8.13.m.40457,0.017457199305716
CHOYP_KCP.9.13.m.43409,0.0143109220644652
CHOYP_KDEL1.1.1.m.62729,0.00266314120475241
CHOYP_KDM1A.1.1.m.60229,0.00139571123930926
CHOYP_KDM1A.1.1.m.60230,0.012099929491203
CHOYP_KDM5A.1.1.m.51935,-0.00203487389275051
CHOYP_KHDR1.1.1.m.8878,-0.00144293401502971
CHOYP_KI11A.1.1.m.14576,0.000176968452045384
CHOYP_KI16B.1.3.m.42636,0.0135202773172564
CHOYP_KIF2A.2.2.m.62686,0.00861478734746463
CHOYP_KIF2A.2.2.m.62688,-0.000933200623501859
CHOYP_KLH26.1.2.m.8792,-0.0115070856664633
CHOYP_KLH36.1.2.m.12244,0.00128057621701647
CHOYP_KLHDB.3.5.m.46662,0.00152373941872532
CHOYP_KLHL24.2.4.m.18433,-0.00409348809169888
CHOYP_KMO.1.2.m.17496,-0.00581465448283338
CHOYP_KPC1.2.2.m.37402,-0.00575836085003141
CHOYP_KPRB.1.1.m.17501,0.00333196774903382
CHOYP_API5.1.1.m.17066,-0.000617952983947576
CHOYP_KS6B1.1.1.m.8274,-0.0190932405997052
CHOYP_KSR2.1.1.m.9852,-0.000233559916923763
CHOYP_LA.1.1.m.65962,-0.00275386453144694
CHOYP_LACB2.1.1.m.31957,0.0237232322636752
CHOYP_LAMC1.1.1.m.36098,-0.00492144765579995
CHOYP_LAR.1.2.m.30133,-0.016912253675038
CHOYP_LARP7.1.1.m.35019,-0.0261098359066056
CHOYP_LC7L3.1.1.m.20705,-0.000476687753997118
CHOYP_LEG4.1.1.m.22079,0.00936350702539893
CHOYP_LEMD3.1.1.m.56975,0.0113977113018756
CHOYP_AQR.1.1.m.9127,-0.000903657003713501
CHOYP_LEO1.1.1.m.41626,-0.0087695832159615
CHOYP_LGR4.1.2.m.27343,0.000870598081331103
CHOYP_LIAS.1.1.m.21693,-0.021287618997044
CHOYP_LIG4.1.1.m.6295,0.0152958931442296
CHOYP_LIGO2.1.2.m.3525,0.00107899192969979
CHOYP_LIN9.1.1.m.12005,-0.0186423265441495
CHOYP_LIS1.1.1.m.56212,-0.00101099792093606
CHOYP_LMBL3.1.1.m.14251,0.00110224671674266
CHOYP_LMNB2.1.1.m.55999,0.000167484432403576
CHOYP_LMO7.1.1.m.27803,0.00947524600018325
